1,2,3,4,5,6,7,8,9,10,11,12,13,14
    0.1226E+04,  0.8000E+00,  0.28690244297957E-10, -0.31722613437488E-10, -0.19124833013256E-07,  0.17599199059251E-07, -0.10542265753713E+02, -0.10498631040941E+02, -0.77184023481607E+01, -0.77545070965076E+01, -0.10368839214872E+02, -0.83555017513573E+00, -0.75851902019274E+01,  0.23977138199087E+01
    0.1251E+04,  0.8000E+00,  0.17518907499572E-10, -0.23745617636193E-10, -0.13394901035038E-07,  0.15201144522883E-07, -0.10756492980457E+02, -0.10624416529704E+02, -0.78730604907229E+01, -0.78181237119723E+01, -0.10530049149471E+02, -0.93516566184337E+00, -0.76933443880822E+01,  0.22931141914581E+01
    0.1277E+04,  0.8000E+00,  0.10666025448716E-10, -0.17899084669462E-10, -0.92662801619341E-08,  0.13099432874008E-07, -0.10971997384442E+02, -0.10747169177577E+02, -0.80330945732304E+01, -0.78827475062542E+01, -0.10681184433368E+02, -0.10333985984570E+01, -0.77946458853432E+01,  0.21864583275922E+01
    0.1302E+04,  0.8000E+00,  0.64145418054970E-11, -0.13585587494541E-10, -0.62655599660162E-08,  0.11258609610287E-07, -0.11192834360092E+02, -0.10866921576229E+02, -0.82030401091418E+01, -0.79485152396680E+01, -0.10823220237527E+02, -0.11296694812512E+01, -0.78899282552186E+01,  0.20786259865608E+01
    0.1328E+04,  0.8000E+00,  0.37619651981154E-11, -0.10385679000637E-10, -0.40768322427512E-08,  0.96497487693118E-08, -0.11424585226419E+02, -0.10983565104657E+02, -0.83896771589296E+01, -0.80154839933424E+01, -0.10956793903168E+02, -0.12232713463293E+01, -0.79798210592078E+01,  0.19705311380358E+01
    0.1354E+04,  0.8000E+00,  0.21061246565994E-11, -0.80003263910206E-11, -0.24819247943087E-08,  0.82479148679017E-08, -0.11676515927514E+02, -0.11096892294642E+02, -0.86052113823504E+01, -0.80836558303375E+01, -0.11082341879343E+02, -0.13133819460915E+01, -0.80648330209709E+01,  0.18630927474750E+01
    0.1379E+04,  0.8000E+00,  0.10774234461137E-11, -0.62139614853212E-11, -0.13259488295462E-08,  0.70308205045719E-08, -0.11967613577883E+02, -0.11206631442868E+02, -0.88774732357160E+01, -0.81529939893736E+01, -0.11200199499293E+02, -0.13991156410636E+01, -0.81454049864843E+01,  0.17571979274024E+01
    0.1405E+04,  0.8000E+00,  0.44533705271513E-12, -0.48699268301340E-11, -0.49653248089630E-09,  0.59781424314297E-08, -0.12351311169409E+02, -0.11312477563941E+02, -0.93040523366698E+01, -0.82234337419486E+01, -0.11310669234635E+02, -0.14796036061909E+01, -0.82219408671179E+01,  0.16536641058204E+01
    0.1431E+04,  0.8000E+00,  0.64407069783763E-13, -0.38537035367658E-11,  0.89210238676525E-10,  0.50711935303167E-08, -0.13191066458734E+02, -0.11414121698424E+02, -0.10049585298701E+02, -0.82948898152962E+01, -0.11414061052147E+02, -0.15540848508523E+01, -0.82948226266085E+01,  0.15532065745162E+01
    0.1456E+04,  0.8000E+00, -0.15787196758430E-12, -0.30812078968411E-11,  0.49316193461886E-09,  0.42927778154851E-08, -0.12801694978315E+02, -0.11511278997754E+02, -0.93070104523986E+01, -0.83672615890435E+01, -0.11510709682376E+02, -0.16219885993622E+01, -0.83644144652270E+01,  0.14564159835908E+01
    0.1482E+04,  0.8000E+00, -0.28060120755909E-12, -0.24904926023771E-11,  0.76191097081318E-09,  0.36271301046952E-08, -0.12551910464330E+02, -0.11603714743934E+02, -0.91180957729432E+01, -0.84404368660524E+01, -0.11600975562409E+02, -0.16829921328915E+01, -0.84310606723505E+01,  0.13637477181537E+01
    0.1507E+04,  0.8000E+00, -0.34160224994899E-12, -0.20357920465594E-11,  0.93071117852545E-09,  0.30598858771082E-08, -0.12466479277511E+02, -0.11691266586671E+02, -0.90311850698598E+01, -0.85142947708604E+01, -0.11685237029398E+02, -0.17370457574194E+01, -0.84950807597120E+01,  0.12755225288037E+01
    0.1533E+04,  0.8000E+00, -0.36504848676300E-12, -0.16832129278451E-11,  0.10263018573008E-08,  0.25780529093793E-08, -0.12437649447502E+02, -0.11773860941933E+02, -0.89887248851509E+01, -0.85887081738656E+01, -0.11763880300894E+02, -0.17843649071178E+01, -0.85567644429369E+01,  0.11919359864146E+01
    0.1559E+04,  0.8000E+00, -0.36632267532378E-12, -0.14075965858718E-11,  0.10689621982180E-08,  0.21699716645655E-08, -0.12436136197734E+02, -0.11851521795218E+02, -0.89710376525046E+01, -0.86635459371207E+01, -0.11837291385965E+02, -0.18253956560620E+01, -0.86163679833846E+01,  0.11130735565574E+01
    0.1584E+04,  0.8000E+00, -0.35513499247502E-12, -0.11902247167413E-11,  0.10740364515328E-08,  0.18252602449232E-08, -0.12449606533302E+02, -0.11924371035223E+02, -0.89689809789429E+01, -0.87386752052479E+01, -0.11905851414644E+02, -0.18607629354663E+01, -0.86741125180608E+01,  0.10389282026238E+01
    0.1610E+04,  0.8000E+00, -0.33753647604932E-12, -0.10171367256034E-11,  0.10530834279797E-08,  0.15347445214423E-08, -0.12471679288045E+02, -0.11992620664399E+02, -0.89775372215249E+01, -0.88139639082403E+01, -0.11969934880033E+02, -0.18912109809175E+01, -0.87301843896963E+01,  0.96941808507719E+00
