1,2,3,4,5,6,7,8,9,10,11,12,13,14
    0.1225E+04,  0.3000E+01,  0.46278041582395E-10, -0.29261737299697E-10, -0.37521784040617E-07,  0.22167952260974E-07, -0.10334625028025E+02, -0.10533699892931E+02, -0.74257165204909E+01, -0.76542744224847E+01, -0.10261590965182E+02, -0.56383357083912E+00, -0.73607029431982E+01,  0.26079636985022E+01
    0.1251E+04,  0.3000E+01,  0.31182249549046E-10, -0.21445327676653E-10, -0.28464691284171E-07,  0.19104036938231E-07, -0.10506092557156E+02, -0.10668667313516E+02, -0.75456935219985E+01, -0.77188748508284E+01, -0.10421992894204E+02, -0.60245133006550E+00, -0.74649435769683E+01,  0.25504936068963E+01
    0.1276E+04,  0.3000E+01,  0.21604987004579E-10, -0.15816721602032E-10, -0.21847408456445E-07,  0.16515514958234E-07, -0.10665445990581E+02, -0.10800883529542E+02, -0.76606000717286E+01, -0.77821078803418E+01, -0.10572257338594E+02, -0.63193761958393E+00, -0.75624486706423E+01,  0.24942953824423E+01
    0.1302E+04,  0.3000E+01,  0.15389786194825E-10, -0.11743580039872E-10, -0.16933242220796E-07,  0.14318579204432E-07, -0.10812767413635E+02, -0.10930199487880E+02, -0.77712598792337E+01, -0.78441000738080E+01, -0.10713125012327E+02, -0.65181750485124E+00, -0.76541249884847E+01,  0.24396644370224E+01
    0.1327E+04,  0.3000E+01,  0.11273565870790E-10, -0.87852018212374E-11, -0.13235431431032E-07,  0.12447540622076E-07, -0.10947938693265E+02, -0.11056248257066E+02, -0.78782618975766E+01, -0.79049164477466E+01, -0.10844894454285E+02, -0.66197503338333E+00, -0.77406654547731E+01,  0.23868624277732E+01
    0.1353E+04,  0.3000E+01,  0.84939932025128E-11, -0.66300579160752E-11, -0.10422516513450E-07,  0.10849787612537E-07, -0.11070888090898E+02, -0.11178482677851E+02, -0.79820274081043E+01, -0.79645787631616E+01, -0.10967573437960E+02, -0.66277338975455E+00, -0.78226128764236E+01,  0.23361113975864E+01
    0.1378E+04,  0.3000E+01,  0.65799206675566E-11, -0.50557680888890E-11, -0.82630913164607E-08,  0.94824597793610E-08, -0.11181779342533E+02, -0.11296212855617E+02, -0.80828574477741E+01, -0.80230789907173E+01, -0.11081028641562E+02, -0.65515026738894E+00, -0.79004026331217E+01,  0.22875882945424E+01
    0.1404E+04,  0.3000E+01,  0.52345922897662E-11, -0.39025432192160E-11, -0.65922258124120E-08,  0.83101788039541E-08, -0.11281117138856E+02, -0.11408652278589E+02, -0.81809679245808E+01, -0.80803896317231E+01, -0.11185138258611E+02, -0.64063387423714E+00, -0.79743918679238E+01,  0.22414208760693E+01
    0.1429E+04,  0.3000E+01,  0.42681907364938E-11, -0.30550743447103E-11, -0.52903354424928E-08,  0.73034511711850E-08, -0.11369756181104E+02, -0.11514978216811E+02, -0.82765167899299E+01, -0.81364718699592E+01, -0.11279931857182E+02, -0.62123650800455E+00, -0.80448798253822E+01,  0.21976855694656E+01
    0.1455E+04,  0.3000E+01,  0.35577261898850E-11, -0.24299243984545E-11, -0.42694713524442E-08,  0.64375093733341E-08, -0.11448827479186E+02, -0.11614407238272E+02, -0.83696258961529E+01, -0.81912821255959E+01, -0.11365688221529E+02, -0.59922472359308E+00, -0.81121222992802E+01,  0.21564075104140E+01
