1,2,3,4,5,6,7,8,9,10,11,12,13,14
    0.1025E+04,  0.3000E+01,  0.162942949132E-09, -0.461240474848E-10, -0.138037486762E-07,  0.927637712260E-08, -0.978796442759E+01, -0.103360725894E+02, -0.786000295647E+01, -0.803262160383E+01, -0.977122683864E+01, -0.275852027152E+00, -0.777907811219E+01,  0.254989394896E+01
    0.1051E+04,  0.3000E+01,  0.106211189420E-09, -0.358731389583E-10, -0.117449075153E-07,  0.859133776924E-08, -0.997382972763E+01, -0.104452306202E+02, -0.793015039871E+01, -0.806593920630E+01, -0.995037211714E+01, -0.325722891222E+00, -0.783708425297E+01,  0.251004050093E+01
    0.1076E+04,  0.3000E+01,  0.713349827830E-10, -0.281621329972E-10, -0.995596460393E-08,  0.792437607545E-08, -0.101466974392E+02, -0.105503344549E+02, -0.800191665609E+01, -0.810103492187E+01, -0.101152454087E+02, -0.376004460137E+00, -0.789535381944E+01,  0.246933065405E+01
    0.1102E+04,  0.3000E+01,  0.491941695875E-10, -0.222967431450E-10, -0.842951524825E-08,  0.728760232386E-08, -0.103080863661E+02, -0.106517585691E+02, -0.807419739940E+01, -0.813741533434E+01, -0.102675160731E+02, -0.425544667716E+00, -0.795299887340E+01,  0.242872114901E+01
    0.1127E+04,  0.3000E+01,  0.347460101115E-10, -0.177916519602E-10, -0.714096541326E-08,  0.668830842480E-08, -0.104590950583E+02, -0.107497837257E+02, -0.814624307039E+01, -0.817468370804E+01, -0.104085320113E+02, -0.473240103294E+00, -0.800948310089E+01,  0.238891460573E+01
    0.1153E+04,  0.3000E+01,  0.250884748431E-10, -0.143010208363E-10, -0.605981737530E-08,  0.613031655691E-08, -0.106005257391E+02, -0.108446329606E+02, -0.821754046397E+01, -0.821251709883E+01, -0.105394297938E+02, -0.518086283413E+00, -0.806449925792E+01,  0.235041125631E+01
    0.1178E+04,  0.3000E+01,  0.184934546131E-10, -0.115746168467E-10, -0.515537471786E-08,  0.561499798972E-08, -0.107329819542E+02, -0.109364933765E+02, -0.828773976258E+01, -0.825065039489E+01, -0.106612058216E+02, -0.559229289287E+00, -0.811788917039E+01,  0.231354558875E+01
    0.1204E+04,  0.3000E+01,  0.139013343620E-10, -0.942913880165E-11, -0.439937038782E-08,  0.514203251630E-08, -0.108569435107E+02, -0.110255279712E+02, -0.835660947276E+01, -0.828886518137E+01, -0.107747555431E+02, -0.596006551282E+00, -0.816959116649E+01,  0.227851537085E+01
    0.1229E+04,  0.3000E+01,  0.106457971512E-10, -0.772892797618E-11, -0.376696855840E-08,  0.470997011475E-08, -0.109728218133E+02, -0.111118807398E+02, -0.842400800469E+01, -0.832698184851E+01, -0.108808899505E+02, -0.627968224391E+00, -0.821960524126E+01,  0.224540681941E+01
    0.1255E+04,  0.3000E+01,  0.829853598677E-11, -0.637268495302E-11, -0.323694246309E-08,  0.431664332353E-08, -0.110809985183E+02, -0.111956775512E+02, -0.848986502015E+01, -0.836485383483E+01, -0.109803389269E+02, -0.654877158591E+00, -0.826796990057E+01,  0.221421736419E+01
