   z,   ex_real,   ex_imag,   rho
   1.5090000000000000e+03,  -4.7098471695811997e-13,  -4.3410289506803996e-12,   1.0000000000000000e+00
   1.5425333333333333e+03,  -6.4591512853358002e-13,  -3.9597933486354003e-12,   1.0000000000000000e+00
   1.5760666666666668e+03,  -7.8806798272045999e-13,  -3.5348762298469002e-12,   1.0000000000000000e+00
   1.6095999999999999e+03,  -8.8871246001048995e-13,  -3.1044371218818999e-12,   1.0000000000000000e+00
   1.6431333333333332e+03,  -9.4823547346839010e-13,  -2.6924017578046001e-12,   1.0000000000000000e+00
   1.6766666666666667e+03,  -9.7163412915484999e-13,  -2.3125200366840000e-12,   1.0000000000000000e+00
   1.7102000000000000e+03,  -9.6574898690282994e-13,  -1.9715126840741001e-12,   1.0000000000000000e+00
   1.7437333333333333e+03,  -9.3766750148177002e-13,  -1.6714275935362000e-12,   1.0000000000000000e+00
   1.7772666666666664e+03,  -8.9388210955884001e-13,  -1.4113532219276001e-12,   1.0000000000000000e+00
   1.8108000000000000e+03,  -8.3991485513303998e-13,  -1.1886307773087001e-12,   1.0000000000000000e+00
   1.8443333333333333e+03,  -7.8021625106972996e-13,  -9.9968786116817997e-13,   1.0000000000000000e+00
   1.8778666666666666e+03,  -7.1821429332129000e-13,  -8.4059348123412004e-13,   1.0000000000000000e+00
   1.9114000000000001e+03,  -6.5643629765515002e-13,  -7.0741264094125999e-13,   1.0000000000000000e+00
   1.9449333333333332e+03,  -5.9665730793857003e-13,  -5.9641996534260999e-13,   1.0000000000000000e+00
   1.9784666666666665e+03,  -5.4004892126584003e-13,  -5.0421653825428004e-13,   1.0000000000000000e+00
   2.0120000000000000e+03,  -4.8731500330844995e-13,  -4.2778212131933999e-13,   8.0000000000000000e+01
   2.0455333333333333e+03,  -4.3880844049874998e-13,  -3.6448574928996002e-13,   8.0000000000000000e+01
   2.0790666666666666e+03,  -3.9462753514607001e-13,  -3.1207082732467002e-13,   8.0000000000000000e+01
   2.1125999999999999e+03,  -3.5469307319002000e-13,  -2.6862580552377000e-13,   1.0000000000000000e+00
   2.1461333333333332e+03,  -3.1880826314655998e-13,  -2.3254785152253000e-13,   1.0000000000000000e+00
   2.1796666666666665e+03,  -2.8670416737952002e-13,  -2.0250433909596999e-13,   1.0000000000000000e+00
   2.2131999999999998e+03,  -2.5807324775213001e-13,  -1.7739514716614999e-13,   1.0000000000000000e+00
   2.2467333333333331e+03,  -2.3259342959178997e-13,  -1.5631750939819999e-13,   1.0000000000000000e+00
   2.2802666666666664e+03,  -2.0994477362199999e-13,  -1.3853431075739001e-13,   1.0000000000000000e+00
   2.3138000000000002e+03,  -1.8982050669158001e-13,  -1.2344617538860001e-13,   1.0000000000000000e+00
   2.3473333333333330e+03,  -1.7193383801680999e-13,  -1.1056734264462000e-13,   1.0000000000000000e+00
   2.3808666666666663e+03,  -1.5602169754474000e-13,  -9.9505121484820999e-14,   1.0000000000000000e+00
   2.4144000000000001e+03,  -1.4184628431896000e-13,  -8.9942602088140001e-14,   1.0000000000000000e+00
   2.4479333333333329e+03,  -1.2919510595286000e-13,  -8.1624254894324996e-14,   1.0000000000000000e+00
   2.4814666666666667e+03,  -1.1788002245595000e-13,  -7.4344038627432001e-14,   1.0000000000000000e+00
   2.5150000000000000e+03,  -1.0773567403542001e-13,  -6.7935654425289996e-14,   1.0000000000000000e+00
   2.5485333333333328e+03,  -9.8617567924921996e-14,  -6.2264612317443997e-14,   1.0000000000000000e+00
   2.5820666666666666e+03,  -9.0400018736810003e-14,  -5.7221811875025005e-14,   1.0000000000000000e+00
   2.6155999999999999e+03,  -8.2974075719000005e-14,  -5.2718376336329999e-14,   1.0000000000000000e+00
   2.6491333333333332e+03,  -7.6245524652399999e-14,  -4.8681516078354000e-14,   1.0000000000000000e+00
   2.6826666666666665e+03,  -7.0133018606646998e-14,  -4.5051231335274998e-14,   1.0000000000000000e+00
   2.7161999999999998e+03,  -6.4566367628553995e-14,  -4.1777694734116999e-14,   1.0000000000000000e+00
   2.7497333333333331e+03,  -5.9485000446847999e-14,  -3.8819181217549998e-14,   1.0000000000000000e+00
   2.7832666666666664e+03,  -5.4836599669552001e-14,  -3.6140436269290003e-14,   1.0000000000000000e+00
   2.8168000000000002e+03,  -5.0575904338275998e-14,  -3.3711393256518997e-14,   1.0000000000000000e+00
   2.8503333333333330e+03,  -4.6663669009844002e-14,  -3.1506167465687001e-14,   1.0000000000000000e+00
   2.8838666666666663e+03,  -4.3065765934596999e-14,  -2.9502268387448998e-14,   1.0000000000000000e+00
   2.9174000000000001e+03,  -3.9752415767238002e-14,  -2.7679983364439001e-14,   1.0000000000000000e+00
   2.9509333333333329e+03,  -3.6697532112021000e-14,  -2.6021895198543001e-14,   1.0000000000000000e+00
   2.9844666666666667e+03,  -3.3878165723830998e-14,  -2.4512504040911000e-14,   1.0000000000000000e+00
   3.0180000000000000e+03,  -3.1274035108736999e-14,  -2.3137930143040999e-14,   1.0000000000000000e+00
   3.0515333333333328e+03,  -2.8867131411969999e-14,  -2.1885679080987001e-14,   1.0000000000000000e+00
   3.0850666666666666e+03,  -2.6641386722471000e-14,  -2.0744455091916001e-14,   1.0000000000000000e+00
   3.1185999999999999e+03,  -2.4582396175345000e-14,  -1.9704011366660000e-14,   1.0000000000000000e+00
   3.1521333333333332e+03,  -2.2677185441372999e-14,  -1.8755028677101999e-14,   1.0000000000000000e+00
   3.1856666666666665e+03,  -2.0914016321510999e-14,  -1.7889015712528002e-14,   1.0000000000000000e+00
   3.2191999999999998e+03,  -1.9282224195364998e-14,  -1.7098226060231999e-14,   1.0000000000000000e+00
   3.2527333333333331e+03,  -1.7772081997783998e-14,  -1.6375587980416999e-14,   1.0000000000000000e+00
   3.2862666666666664e+03,  -1.6374686215845000e-14,  -1.5714644065159999e-14,   1.0000000000000000e+00
   3.3198000000000002e+03,  -1.5081861113738000e-14,  -1.5109498593328001e-14,   1.0000000000000000e+00
   3.3533333333333330e+03,  -1.3886078011820001e-14,  -1.4554770945012000e-14,   1.0000000000000000e+00
   3.3868666666666663e+03,  -1.2780386977064000e-14,  -1.4045553857302999e-14,   1.0000000000000000e+00
   3.4204000000000001e+03,  -1.1758358734041999e-14,  -1.3577375618040999e-14,   1.0000000000000000e+00
   3.4539333333333329e+03,  -1.0814034987755001e-14,  -1.3146165529200001e-14,   1.0000000000000000e+00
   3.4874666666666667e+03,  -9.9418856707193002e-15,  -1.2748222145504000e-14,   1.0000000000000000e+00
   3.5210000000000000e+03,  -9.1367718951512996e-15,  -1.2380183921236000e-14,   1.0000000000000000e+00
   3.5545333333333328e+03,  -8.3939136140632996e-15,  -1.2039001990623000e-14,   1.0000000000000000e+00
   3.5880666666666666e+03,  -7.7088611795897996e-15,  -1.1721914873287999e-14,   1.0000000000000000e+00
   3.6215999999999999e+03,  -7.0774701388615997e-15,  -1.1426424943068000e-14,   1.0000000000000000e+00
   3.6551333333333332e+03,  -6.4958787321114000e-15,  -1.1150276531110999e-14,   1.0000000000000000e+00
   3.6886666666666665e+03,  -5.9604876594999998e-15,  -1.0891435556474000e-14,   1.0000000000000000e+00
