   z,   ex_real,   ex_imag,   hy_real,   hy_imag,   rho
   8.7122155620714523e+02,  -1.2907398017065999e-12,  -4.5649699281532000e-16,  -7.4358042885936000e-10,   4.8485650389159004e-10,   1.0000000000000000e+00
   8.9058203523397071e+02,  -1.0888606832359999e-12,   1.3724712316786000e-13,  -5.7854392533291999e-10,   4.3079792512583998e-10,   1.0000000000000000e+00
   9.0994251426079620e+02,  -8.8044315056073004e-13,   2.1535679447922001e-13,  -4.5225829618013000e-10,   3.7473440672350999e-10,   1.0000000000000000e+00
   9.2930299328762158e+02,  -6.8952360130993999e-13,   2.4529753525182000e-13,  -3.5665039851735002e-10,   3.2116857981044998e-10,   1.0000000000000000e+00
   9.4866347231444706e+02,  -5.2758660691131003e-13,   2.4130470409482002e-13,  -2.8477083402475001e-10,   2.7260166021758999e-10,   1.0000000000000000e+00
   9.6802395134127255e+02,  -3.9777211321343998e-13,   2.1655225314964001e-13,  -2.3088372055985999e-10,   2.3013319572897000e-10,   1.0000000000000000e+00
   9.8738443036809792e+02,  -2.9828065633440998e-13,   1.8151217304764001e-13,  -1.9041387617992001e-10,   1.9394768177721000e-10,   1.0000000000000000e+00
   1.0067449093949234e+03,  -2.2484718490302001e-13,   1.4361635291758001e-13,  -1.5981548010773001e-10,   1.6368315590519999e-10,   1.0000000000000000e+00
   1.0261053884217488e+03,  -1.7237438643390001e-13,   1.0757988736775000e-13,  -1.3640776746802001e-10,   1.3869371733276001e-10,   1.0000000000000000e+00
   1.0454658674485743e+03,  -1.3590313263355999e-13,   7.5983676153961001e-14,  -1.1820728737637999e-10,   1.1822510121949000e-10,   1.0000000000000000e+00
   1.0648263464753998e+03,  -1.1110872591000000e-13,   4.9888969371883002e-14,  -1.0377381350116001e-10,   1.0152374304821000e-10,   1.0000000000000000e+00
   1.0841868255022250e+03,  -9.4486479244629004e-14,   2.9372973468896997e-14,  -9.2078135008990997e-11,   8.7897912710405999e-11,   1.0000000000000000e+00
   1.1035473045290507e+03,  -8.3352647120866001e-14,   1.3945636807811999e-14,  -8.2394142998629006e-11,   7.6746270786739001e-11,   1.0000000000000000e+00
   1.1229077835558760e+03,  -7.5749587541503002e-14,   2.8467334564818998e-15,  -7.4214164536261005e-11,   6.7565680764647005e-11,   1.0000000000000000e+00
   1.1422682625827015e+03,  -7.0312931127963994e-14,  -4.7593595157412999e-15,  -6.7184707519811998e-11,   5.9946880439502998e-11,   1.0000000000000000e+00
   1.1616287416095270e+03,  -6.6135045196504998e-14,  -9.6678468092990001e-15,  -6.1059097465032005e-11,   5.3563928320528002e-11,   1.0000000000000000e+00
   1.1809892206363525e+03,  -6.2642724731373999e-14,  -1.2573961454796000e-14,  -5.5663477190676003e-11,   4.8161256537461998e-11,   1.0000000000000000e+00
   1.2003496996631777e+03,  -5.9496490391539006e-14,  -1.4050583365824999e-14,  -5.0872992610112997e-11,   4.3540635899352997e-11,   1.0000000000000000e+00
   1.2197101786900034e+03,  -5.6512628503795999e-14,  -1.4548405516197001e-14,  -4.6595496535279997e-11,   3.9549300252620001e-11,   1.0000000000000000e+00
