   z,   ex_real,   ex_imag,   hy_real,   hy_imag,   rho
   8.7122155620714523e+02,  -2.2880750878097998e-12,  -5.9980257249478002e-13,  -8.9993440894431996e-10,   5.2807505745216999e-10,   5.0000000000000000e+00
   8.9058203523397071e+02,  -2.0616991888773001e-12,  -2.9179912224145002e-13,  -7.1242085891790002e-10,   4.8049961184787999e-10,   5.0000000000000000e+00
   9.0994251426079620e+02,  -1.8001394306407000e-12,  -6.6423976363609998e-14,  -5.6577285870924000e-10,   4.2791910650811001e-10,   5.0000000000000000e+00
   9.2930299328762158e+02,  -1.5386105730648000e-12,   8.5724561808894002e-14,  -4.5206351602418999e-10,   3.7545288731364998e-10,   5.0000000000000000e+00
   9.4866347231444706e+02,  -1.2970850311360000e-12,   1.7958837069578001e-13,  -3.6436099788844000e-10,   3.2617407421539001e-10,   5.0000000000000000e+00
   9.6802395134127255e+02,  -1.0848652168073999e-12,   2.3055706471467002e-13,  -2.9684897830860002e-10,   2.8168672410229999e-10,   5.0000000000000000e+00
   9.8738443036809792e+02,  -9.0441690008379003e-13,   2.5201710364297002e-13,  -2.4480340374166002e-10,   2.4260167511977000e-10,   5.0000000000000000e+00
   1.0067449093949234e+03,  -7.5425653951029999e-13,   2.5450295571927000e-13,  -2.0448726074379001e-10,   2.0890328878746000e-10,   5.0000000000000000e+00
   1.0261053884217488e+03,  -6.3094776312287000e-13,   2.4571793563978001e-13,  -1.7300771800135000e-10,   1.8021626452793000e-10,   5.0000000000000000e+00
   1.0454658674485743e+03,  -5.3037313958532998e-13,   2.3095345556505999e-13,  -1.4816487064849000e-10,   1.5598926757881999e-10,   5.0000000000000000e+00
   1.0648263464753998e+03,  -4.4847104345014001e-13,   2.1362990514169000e-13,  -1.2830945868706000e-10,   1.3561391213077999e-10,   5.0000000000000000e+00
   1.0841868255022250e+03,  -3.8160789839301998e-13,   1.9581421382376000e-13,  -1.1221840448019000e-10,   1.1849629084919000e-10,   5.0000000000000000e+00
   1.1035473045290507e+03,  -3.2672038413100001e-13,   1.7865137353000000e-13,  -9.8991346468560995e-11,   1.0409546919515000e-10,   5.0000000000000000e+00
   1.1229077835558760e+03,  -2.8132498366940000e-13,   1.6269405180623000e-13,  -8.7967897802677004e-11,   9.1940218165968999e-11,   5.0000000000000000e+00
   1.1422682625827015e+03,  -2.4346026531308001e-13,   1.4813805703080001e-13,  -7.8663503919894999e-11,   8.1632314228094005e-11,   5.0000000000000000e+00
   1.1616287416095270e+03,  -2.1160267737969001e-13,   1.3498096444760001e-13,  -7.0720983577242996e-11,   7.2842250559863004e-11,   5.0000000000000000e+00
   1.1809892206363525e+03,  -1.8457915703109001e-13,   1.2312296656137999e-13,  -6.3874706169197000e-11,   6.5301251684273996e-11,   5.0000000000000000e+00
   1.2003496996631777e+03,  -1.6148829222754000e-13,   1.1242699224295000e-13,  -5.7924592314692999e-11,   5.8792034460640000e-11,   5.0000000000000000e+00
   1.2197101786900034e+03,  -1.4163465798031001e-13,   1.0275172149172000e-13,  -5.2717528845395001e-11,   5.3139735736778999e-11,   5.0000000000000000e+00
   1.2390706577168287e+03,  -1.2447693013229001e-13,   9.3967583358052999e-14,  -4.8134241251418999e-11,   4.8203740638121000e-11,   5.0000000000000000e+00
   1.2584311367436542e+03,  -1.0958838280434000e-13,   8.5962753582486004e-14,  -4.4080096830777002e-11,   4.3870709787925000e-11,   5.0000000000000000e+00
   1.2777916157704797e+03,  -9.6627605696139996e-14,   7.8643761004503996e-14,  -4.0478686178426997e-11,   4.0048845732122999e-11,   5.0000000000000000e+00
   1.2971520947973049e+03,  -8.5317190175256996e-14,   7.1933556590856004e-14,  -3.7267337463814999e-11,   3.6663300728011000e-11,   5.0000000000000000e+00
   1.3165125738241304e+03,  -7.5428378701598994e-14,   6.5768694433603002e-14,  -3.4393958289914999e-11,   3.3652566671003998e-11,   5.0000000000000000e+00
   1.3358730528509561e+03,  -6.6770041216688000e-14,   6.0096493368969996e-14,  -3.1814781453953998e-11,   3.0965672565475000e-11,   5.0000000000000000e+00
   1.3552335318777814e+03,  -5.9180720108432999e-14,   5.4872571599763002e-14,  -2.9492723824287000e-11,   2.8560024775792001e-11,   5.0000000000000000e+00
   1.3745940109046069e+03,  -5.2522817740513997e-14,   5.0058876559017998e-14,  -2.7396162178966999e-11,   2.6399746920665999e-11,   5.0000000000000000e+00
   1.3939544899314324e+03,  -4.6678268226660999e-14,   4.5622193885996998e-14,  -2.5497995550542999e-11,   2.4454401588657000e-11,   5.0000000000000000e+00
   1.4133149689582576e+03,  -4.1545238068443001e-14,   4.1533060154332999e-14,  -2.3774908173837000e-11,   2.2698000544821999e-11,   5.0000000000000000e+00
   1.4326754479850831e+03,  -3.7035547171289003e-14,   3.7764988726118998e-14,  -2.2206776691345000e-11,   2.1108231586022000e-11,   5.0000000000000000e+00
   1.4520359270119088e+03,  -3.3072604150777998e-14,   3.4293924633570000e-14,  -2.0776184493655001e-11,   1.9665847920640999e-11,   5.0000000000000000e+00
   1.4713964060387341e+03,  -2.9589718989453002e-14,   3.1097859617966000e-14,  -1.9468018361309998e-11,   1.8354179930361001e-11,   5.0000000000000000e+00
   1.4907568850655596e+03,  -2.6528701570987001e-14,   2.8156555273285000e-14,  -1.8269130333416999e-11,   1.7158739844280999e-11,   5.0000000000000000e+00
   1.5101173640923851e+03,  -2.3838683888009999e-14,   2.5451337258069999e-14,  -1.7168052603289999e-11,   1.6066897794232999e-11,   5.0000000000000000e+00
   1.5294778431192103e+03,  -2.1475122304152000e-14,   2.2964935519409000e-14,  -1.6154756326393998e-11,   1.5067613507625999e-11,   5.0000000000000000e+00
   1.5488383221460358e+03,  -1.9398948014306000e-14,   2.0681354325690999e-14,  -1.5220447225591999e-11,   1.4151212051555000e-11,   5.0000000000000000e+00
   1.5681988011728615e+03,  -1.7575841384418000e-14,   1.8585762058682999e-14,  -1.4357392232736000e-11,   1.3309195000430999e-11,   5.0000000000000000e+00
   1.5875592801996868e+03,  -1.5975610836664999e-14,   1.6664394765929999e-14,  -1.3558772378941000e-11,   1.2534080497397999e-11,   5.0000000000000000e+00
   1.6069197592265123e+03,  -1.4571660414257000e-14,   1.4904470001112999e-14,  -1.2818557892177999e-11,   1.1819267172300000e-11,   5.0000000000000000e+00
   1.6262802382533378e+03,  -1.3340532730104000e-14,   1.3294108968435001e-14,  -1.2131402066141999e-11,   1.1158917951452000e-11,   5.0000000000000000e+00
   1.6456407172801630e+03,  -1.2261516027420000e-14,   1.1822265808032000e-14,  -1.1492550974587000e-11,   1.0547860578383999e-11,   5.0000000000000000e+00
   1.6650011963069887e+03,  -1.1316305752020000e-14,   1.0478663276426000e-14,  -1.0897766544677000e-11,   9.9815022507442997e-12,   5.0000000000000000e+00
   1.6843616753338142e+03,  -1.0488712457896000e-14,   9.2537342660820006e-15,  -1.0343260883913000e-11,   9.4557562280525993e-12,   5.0000000000000000e+00
   1.7037221543606395e+03,  -9.7644090941082004e-15,   8.1385686819631997e-15,  -9.8256400851644997e-12,   8.9669786188146995e-12,   5.0000000000000000e+00
   1.7230826333874650e+03,  -9.1307117815775002e-15,   7.1248652165985992e-15,  -9.3418560182693005e-12,   8.5119138406268994e-12,   5.0000000000000000e+00
   1.7424431124142905e+03,  -8.5763891025310995e-15,   6.2048875736185998e-15,  -8.8891648591759004e-12,   8.0876474809520002e-12,   5.0000000000000000e+00
